Nation,League,Date,Month,Year,Home,Away
Italy,Serie A,13,8,2022,AC Milan,Udinese
Italy,Serie A,13,8,2022,Lecce,Inter
Italy,Serie A,13,8,2022,Monza,Torino
Italy,Serie A,13,8,2022,Sampdoria,Atalanta
Italy,Serie A,14,8,2022,Fiorentina,Cremonese
Italy,Serie A,14,8,2022,Lazio,Bologna
Italy,Serie A,14,8,2022,Salernitana,AS Roma
Italy,Serie A,14,8,2022,Spezia,Empoli
Italy,Serie A,15,8,2022,Juventus,Sassuolo
Italy,Serie A,15,8,2022,Verona,Napoli
Italy,Serie A,20,8,2022,Inter,Spezia
Italy,Serie A,20,8,2022,Sassuolo,Lecce
Italy,Serie A,20,8,2022,Torino,Lazio
Italy,Serie A,20,8,2022,Udinese,Salernitana
Italy,Serie A,21,8,2022,Atalanta,AC Milan
Italy,Serie A,21,8,2022,Bologna,Verona
Italy,Serie A,21,8,2022,Empoli,Fiorentina
Italy,Serie A,21,8,2022,Napoli,Monza
Italy,Serie A,22,8,2022,AS Roma,Cremonese
Italy,Serie A,22,8,2022,Sampdoria,Juventus
Italy,Serie A,26,8,2022,Lazio,Inter
Italy,Serie A,26,8,2022,Monza,Udinese
Italy,Serie A,27,8,2022,AC Milan,Bologna
Italy,Serie A,27,8,2022,Cremonese,Torino
Italy,Serie A,27,8,2022,Juventus,AS Roma
Italy,Serie A,27,8,2022,Spezia,Sassuolo
Italy,Serie A,28,8,2022,Fiorentina,Napoli
Italy,Serie A,28,8,2022,Lecce,Empoli
Italy,Serie A,28,8,2022,Salernitana,Sampdoria
Italy,Serie A,28,8,2022,Verona,Atalanta
Italy,Serie A,30,8,2022,AS Roma,Monza
Italy,Serie A,30,8,2022,Inter,Cremonese
Italy,Serie A,30,8,2022,Sassuolo,AC Milan
Italy,Serie A,31,8,2022,Empoli,Verona
Italy,Serie A,31,8,2022,Juventus,Spezia
Italy,Serie A,31,8,2022,Napoli,Lecce
Italy,Serie A,31,8,2022,Sampdoria,Lazio
Italy,Serie A,31,8,2022,Udinese,Fiorentina
Italy,Serie A,1,9,2022,Atalanta,Torino
Italy,Serie A,1,9,2022,Bologna,Salernitana
Italy,Serie A,3,9,2022,AC Milan,Inter
Italy,Serie A,3,9,2022,Fiorentina,Juventus
Italy,Serie A,3,9,2022,Lazio,Napoli
Italy,Serie A,4,9,2022,Cremonese,Sassuolo
Italy,Serie A,4,9,2022,Spezia,Bologna
Italy,Serie A,4,9,2022,Udinese,AS Roma
Italy,Serie A,4,9,2022,Verona,Sampdoria
Italy,Serie A,5,9,2022,Monza,Atalanta
Italy,Serie A,5,9,2022,Salernitana,Empoli
Italy,Serie A,5,9,2022,Torino,Lecce
Italy,Serie A,11,9,2022,Atalanta,Cremonese
Italy,Serie A,11,9,2022,Bologna,Fiorentina
Italy,Serie A,11,9,2022,Empoli,AS Roma
Italy,Serie A,11,9,2022,Inter,Torino
Italy,Serie A,11,9,2022,Juventus,Salernitana
Italy,Serie A,11,9,2022,Lazio,Verona
Italy,Serie A,11,9,2022,Lecce,Monza
Italy,Serie A,11,9,2022,Napoli,Spezia
Italy,Serie A,11,9,2022,Sampdoria,AC Milan
Italy,Serie A,11,9,2022,Sassuolo,Udinese
Italy,Serie A,18,9,2022,AC Milan,Napoli
Italy,Serie A,18,9,2022,AS Roma,Atalanta
Italy,Serie A,18,9,2022,Bologna,Empoli
Italy,Serie A,18,9,2022,Cremonese,Lazio
Italy,Serie A,18,9,2022,Fiorentina,Verona
Italy,Serie A,18,9,2022,Monza,Juventus
Italy,Serie A,18,9,2022,Salernitana,Lecce
Italy,Serie A,18,9,2022,Spezia,Sampdoria
Italy,Serie A,18,9,2022,Torino,Sassuolo
Italy,Serie A,18,9,2022,Udinese,Inter
Italy,Serie A,2,10,2022,Atalanta,Fiorentina
Italy,Serie A,2,10,2022,Empoli,AC Milan
Italy,Serie A,2,10,2022,Inter,AS Roma
Italy,Serie A,2,10,2022,Juventus,Bologna
Italy,Serie A,2,10,2022,Lazio,Spezia
Italy,Serie A,2,10,2022,Lecce,Cremonese
Italy,Serie A,2,10,2022,Napoli,Torino
Italy,Serie A,2,10,2022,Sampdoria,Monza
Italy,Serie A,2,10,2022,Sassuolo,Salernitana
Italy,Serie A,2,10,2022,Verona,Udinese
Italy,Serie A,9,10,2022,AC Milan,Juventus
Italy,Serie A,9,10,2022,AS Roma,Lecce
Italy,Serie A,9,10,2022,Bologna,Sampdoria
Italy,Serie A,9,10,2022,Cremonese,Napoli
Italy,Serie A,9,10,2022,Fiorentina,Lazio
Italy,Serie A,9,10,2022,Monza,Spezia
Italy,Serie A,9,10,2022,Salernitana,Verona
Italy,Serie A,9,10,2022,Sassuolo,Inter
Italy,Serie A,9,10,2022,Torino,Empoli
Italy,Serie A,9,10,2022,Udinese,Atalanta
Italy,Serie A,16,10,2022,Atalanta,Sassuolo
Italy,Serie A,16,10,2022,Empoli,Monza
Italy,Serie A,16,10,2022,Inter,Salernitana
Italy,Serie A,16,10,2022,Lazio,Udinese
Italy,Serie A,16,10,2022,Lecce,Fiorentina
Italy,Serie A,16,10,2022,Napoli,Bologna
Italy,Serie A,16,10,2022,Sampdoria,AS Roma
Italy,Serie A,16,10,2022,Spezia,Cremonese
Italy,Serie A,16,10,2022,Torino,Juventus
Italy,Serie A,16,10,2022,Verona,AC Milan
Italy,Serie A,23,10,2022,AC Milan,Monza
Italy,Serie A,23,10,2022,AS Roma,Napoli
Italy,Serie A,23,10,2022,Atalanta,Lazio
Italy,Serie A,23,10,2022,Bologna,Lecce
Italy,Serie A,23,10,2022,Cremonese,Sampdoria
Italy,Serie A,23,10,2022,Fiorentina,Inter
Italy,Serie A,23,10,2022,Juventus,Empoli
Italy,Serie A,23,10,2022,Salernitana,Spezia
Italy,Serie A,23,10,2022,Sassuolo,Verona
Italy,Serie A,23,10,2022,Udinese,Torino
Italy,Serie A,30,10,2022,Cremonese,Udinese
